hour,price
0,0.30000001192092896
1,0.30000001192092896
2,0.30000001192092896
3,0.30000001192092896
4,0.30000001192092896
5,0.30000001192092896
6,0.3006000118255615
7,0.30285001146793367
8,0.31650000929832456
9,0.3322500067949295
10,0.34275000512599946
11,0.3511500037908554
12,0.3558000030517578
13,0.3553500031232834
14,0.35700000286102296
15,0.3648000016212463
16,0.36735000121593475
17,0.36525000154972076
18,0.36435000169277193
19,0.3604500023126602
20,0.3522000036239624
21,0.34305000507831573
22,0.3289500073194504
23,0.3226500083208084
