elasticity,lambda,seed,PPO_revenue,PPO_wait_steps,PPO_sessions,PPO_co2,PPO_score,ToU_revenue,ToU_wait_steps,ToU_sessions,ToU_co2,ToU_score,ToU3_revenue,ToU3_wait_steps,ToU3_sessions,ToU3_co2,ToU3_score,Flat_revenue,Flat_wait_steps,Flat_sessions,Flat_co2,Flat_score,Congestion_revenue,Congestion_wait_steps,Congestion_sessions,Congestion_co2,Congestion_score,margin_vs_ToU,margin_vs_ToU3,margin_vs_Flat
0.7,0.23301804442707208,0,445.06460000000004,48.71,48.59,76029.13050000001,433.71429105595735,343.3951666666667,7.48,36.14,56486.51,341.6521916943522,385.052,46.42,49.10333333333333,76784.82403333334,374.23530237769535,385.05806666666666,50.053333333333335,49.16,77011.6367,373.3947368162769,399.3533666666667,13.383333333333333,41.25666666666667,64379.17763333333,396.23480850541773,92.06209936160514,59.478988678262,60.31955423968043
0.7,0.23301804442707208,1,443.10483333333326,47.25333333333333,48.096666666666664,75214.31383333333,432.09395400733933,343.3951666666667,7.48,36.14,56486.51,341.6521916943522,385.052,46.42,49.10333333333333,76784.82403333334,374.23530237769535,385.05806666666666,50.053333333333335,49.16,77011.6367,373.3947368162769,399.3533666666667,13.383333333333333,41.25666666666667,64379.17763333333,396.23480850541773,90.44176231298712,57.85865162964399,58.69921719106242
0.7,0.23301804442707208,2,446.5274000000001,46.79333333333334,47.36333333333334,74052.24776666667,435.62370897444265,343.3951666666667,7.48,36.14,56486.51,341.6521916943522,385.052,46.42,49.10333333333333,76784.82403333334,374.23530237769535,385.05806666666666,50.053333333333335,49.16,77011.6367,373.3947368162769,399.3533666666667,13.383333333333333,41.25666666666667,64379.17763333333,396.23480850541773,93.97151728009044,61.3884065967473,62.22897215816573
0.7,0.23301804442707208,3,438.2669333333334,46.64333333333333,47.276666666666664,73900.62506666666,427.39819501444,343.3951666666667,7.48,36.14,56486.51,341.6521916943522,385.052,46.42,49.10333333333333,76784.82403333334,374.23530237769535,385.05806666666666,50.053333333333335,49.16,77011.6367,373.3947368162769,399.3533666666667,13.383333333333333,41.25666666666667,64379.17763333333,396.23480850541773,85.74600332008777,53.16289263674463,54.00345819816306
0.7,0.23301804442707208,4,443.68726666666663,47.306666666666665,48.28666666666667,75511.87473333334,432.6639597116366,343.3951666666667,7.48,36.14,56486.51,341.6521916943522,385.052,46.42,49.10333333333333,76784.82403333334,374.23530237769535,385.05806666666666,50.053333333333335,49.16,77011.6367,373.3947368162769,399.3533666666667,13.383333333333333,41.25666666666667,64379.17763333333,396.23480850541773,91.0117680172844,58.42865733394126,59.26922289535969
0.8,0.9336704580387348,0,427.7647,35.57,46.18333333333333,72130.80146666666,394.5540418075622,322.9975,5.243333333333333,34.38666666666666,53766.76876666667,318.1019545650169,384.91763333333336,46.42,49.09,76766.9053,341.5766506711753,385.05806666666666,50.053333333333335,49.16,77011.6367,338.32474800696787,388.5683333333334,11.016666666666667,40.35,63086.929066666664,378.2823971206067,76.4520872425453,52.97739113638693,56.22929380059435
0.8,0.9336704580387348,1,435.4438333333333,42.6,47.15,73615.39866666668,395.6694718208832,322.9975,5.243333333333333,34.38666666666666,53766.76876666667,318.1019545650169,384.91763333333336,46.42,49.09,76766.9053,341.5766506711753,385.05806666666666,50.053333333333335,49.16,77011.6367,338.32474800696787,388.5683333333334,11.016666666666667,40.35,63086.929066666664,378.2823971206067,77.56751725586628,54.0928211497079,57.34472381391532
0.8,0.9336704580387348,2,419.50460000000004,30.35333333333333,45.21666666666667,70522.50520000001,391.16458936366433,322.9975,5.243333333333333,34.38666666666666,53766.76876666667,318.1019545650169,384.91763333333336,46.42,49.09,76766.9053,341.5766506711753,385.05806666666666,50.053333333333335,49.16,77011.6367,338.32474800696787,388.5683333333334,11.016666666666667,40.35,63086.929066666664,378.2823971206067,73.06263479864742,49.58793869248905,52.83984135669647
0.8,0.9336704580387348,3,439.3009666666666,43.973333333333336,47.843333333333334,74765.46913333335,398.2443643918433,322.9975,5.243333333333333,34.38666666666666,53766.76876666667,318.1019545650169,384.91763333333336,46.42,49.09,76766.9053,341.5766506711753,385.05806666666666,50.053333333333335,49.16,77011.6367,338.32474800696787,388.5683333333334,11.016666666666667,40.35,63086.929066666664,378.2823971206067,80.1424098268264,56.66771372066802,59.91961638487544
0.8,0.9336704580387348,4,431.9285,38.22,46.89666666666667,73280.88509999998,396.24361509375956,322.9975,5.243333333333333,34.38666666666666,53766.76876666667,318.1019545650169,384.91763333333336,46.42,49.09,76766.9053,341.5766506711753,385.05806666666666,50.053333333333335,49.16,77011.6367,338.32474800696787,388.5683333333334,11.016666666666667,40.35,63086.929066666664,378.2823971206067,78.14166052874265,54.66696442258427,57.91886708679169
